employment status,FIPS,business/farm in hhld,"(layoff)from full-time job,y/n",unemployed)weeks on job search,college credit completed,reason for work absence last week,state,year-month,CBSA Code,CBSA Name,First City,latitude,longitude
1,31100,1,-1,-1,4,-1,6.0,2014-06-01,,,,,
1,0,2,-1,-1,-1,-1,5.0,2017-04-01,,,,,
1,47900,1,-1,-1,-1,-1,51.0,2023-02-01,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington, DC-VA-MD-WV",,
5,46060,2,-1,-1,-1,-1,4.0,2023-07-01,46060.0,"Tucson, AZ","Tucson, AZ",32.2228765,-110.974847
1,0,2,-1,-1,-1,-1,50.0,2013-07-01,,,,,
-1,35620,2,-1,-1,-1,-1,36.0,2012-04-01,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY-NJ-PA",,
1,0,2,-1,-1,-1,-1,42.0,2023-01-01,,,,,
-1,38060,2,-1,-1,-1,-1,4.0,2019-12-01,38060.0,"Phoenix-Mesa-Scottsdale, AZ","Phoenix, AZ",33.4484367,-112.074141
1,19300,2,-1,-1,-1,-1,1.0,2023-11-01,19300.0,"Daphne-Fairhope-Foley, AL","Daphne, AL",30.6035255,-87.9036047
7,29820,2,-1,-1,-1,-1,32.0,2017-09-01,29820.0,"Las Vegas-Henderson-Paradise, NV","Las Vegas, NV",36.1672559,-115.148516
-1,23580,2,-1,-1,-1,-1,13.0,2022-12-01,23580.0,"Gainesville, GA","Gainesville, GA",34.2978794,-83.8240663
4,32820,2,-1,8,2,-1,47.0,2012-07-01,32820.0,"Memphis, TN-MS-AR","Memphis, TN, TN-MS-AR",,
5,40900,2,-1,-1,-1,-1,6.0,2010-07-01,40900.0,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento, CA",38.5810606,-121.493895
1,27980,1,-1,-1,-1,-1,15.0,2021-12-01,27980.0,"Kahului-Wailuku-Lahaina, HI","Kahului, HI",20.8894101,-156.4727118
5,10740,2,-1,-1,-1,-1,35.0,2021-10-01,10740.0,"Albuquerque, NM","Albuquerque, NM",35.0841034,-106.650985
1,40140,2,-1,-1,4,-1,6.0,2018-12-01,40140.0,"Riverside-San Bernardino-Ontario, CA","Riverside, CA",33.7219991,-116.0372472
1,28420,2,-1,-1,-1,-1,53.0,2023-02-01,28420.0,"Kennewick-Richland, WA","Kennewick, WA",46.2087066,-119.119919
1,41860,2,-1,-1,3,-1,6.0,2019-07-01,41860.0,"San Francisco-Oakland-Hayward, CA","San Francisco, CA",37.7792588,-122.4193286
1,0,1,-1,-1,-1,-1,31.0,2017-01-01,,,,,
-1,48620,2,-1,-1,-1,-1,20.0,2021-10-01,48620.0,"Wichita, KS","Wichita, KS",37.6922361,-97.3375448
2,19100,2,-1,-1,-1,8,48.0,2017-08-01,19100.0,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7762719,-96.7968559
1,12940,2,-1,-1,-1,-1,22.0,2018-12-01,12940.0,"Baton Rouge, LA","Baton Rouge, LA",30.4494155,-91.1869659
2,39300,2,-1,-1,-1,4,44.0,2018-02-01,39300.0,"Providence-Warwick, RI-MA","Providence, RI-MA",41.8239891,-71.4128343
7,26420,2,-1,-1,-1,-1,48.0,2012-04-01,26420.0,"Houston-The Woodlands-Sugar Land, TX","Houston, TX",29.7589382,-95.3676974
5,0,2,-1,-1,-1,-1,33.0,2020-11-01,,,,,
5,38300,2,-1,-1,-1,-1,42.0,2011-06-01,38300.0,"Pittsburgh, PA","Pittsburgh, PA",40.4416941,-79.9900861
1,0,1,-1,-1,-1,-1,19.0,2013-10-01,,,,,
1,77200,2,-1,-1,3,-1,44.0,2012-03-01,,,,,
-1,40420,2,-1,-1,-1,-1,17.0,2016-10-01,40420.0,"Rockford, IL","Rockford, IL",42.2713945,-89.093966
7,31100,2,-1,-1,-1,-1,6.0,2014-04-01,,,,,
1,0,2,-1,-1,-1,-1,21.0,2011-03-01,,,,,
1,12940,2,-1,-1,-1,-1,22.0,2019-07-01,12940.0,"Baton Rouge, LA","Baton Rouge, LA",30.4494155,-91.1869659
1,17020,2,-1,-1,-1,-1,6.0,2016-06-01,17020.0,"Chico, CA","Chico, CA",39.7284945,-121.8374777
5,38300,2,-1,-1,-1,-1,42.0,2021-06-01,38300.0,"Pittsburgh, PA","Pittsburgh, PA",40.4416941,-79.9900861
